"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2016","94.97","97.91","100.58","92.45","186.53M","-2.42%"
"01/17/2016","97.94","96.53","98.07","89.37","151.06M","3.13%"
"01/24/2016","112.21","98.72","112.84","94.23","288.27M","14.57%"
"01/31/2016","104.07","112.27","117.59","103.18","278.62M","-7.25%"
"02/07/2016","102.01","100.41","105.11","96.82","258.97M","-1.98%"
"02/14/2016","104.57","103.80","106.00","100.24","151.76M","2.51%"
"02/21/2016","107.92","105.49","109.45","102.74","152.03M","3.20%"
"02/28/2016","108.39","107.60","110.55","106.75","131.56M","0.44%"
"03/06/2016","109.41","108.07","109.42","104.40","123.20M","0.94%"
"03/13/2016","111.45","109.28","112.69","108.77","120.11M","1.86%"
"03/20/2016","113.05","111.66","113.19","111.03","73.85M","1.44%"
"03/27/2016","116.06","113.32","116.99","112.95","130.38M","2.66%"
"04/03/2016","110.63","114.07","114.89","109.90","161.48M","-4.68%"
"04/10/2016","109.64","110.70","112.65","106.52","203.63M","-0.89%"
"04/17/2016","110.56","109.74","114.04","109.01","131.74M","0.84%"
"04/24/2016","117.58","109.87","120.79","106.31","220.00M","6.35%"
"05/01/2016","119.49","117.83","119.64","116.57","124.11M","1.62%"
"05/08/2016","119.81","119.54","121.08","114.80","106.56M","0.27%"
"05/15/2016","117.35","119.38","119.61","115.88","113.71M","-2.05%"
"05/22/2016","119.38","117.42","119.85","115.94","92.64M","1.73%"
"05/29/2016","118.47","119.46","120.10","117.82","65.94M","-0.76%"
"06/05/2016","116.62","118.62","119.43","116.26","76.72M","-1.56%"
"06/12/2016","113.02","115.00","115.48","112.56","113.04M","-3.09%"
"06/19/2016","112.08","113.77","115.21","111.00","111.62M","-0.83%"
"06/26/2016","114.19","111.57","115.18","108.23","122.36M","1.88%"
"07/03/2016","117.24","113.94","117.50","112.97","73.32M","2.67%"
"07/10/2016","116.86","117.71","118.72","116.58","80.36M","-0.32%"
"07/17/2016","121.00","117.32","122.20","116.89","98.68M","3.54%"
"07/24/2016","123.94","121.39","128.33","117.78","202.77M","2.43%"
"07/31/2016","125.15","123.85","125.83","122.07","108.75M","0.98%"
"08/07/2016","124.88","125.25","126.09","124.18","69.41M","-0.22%"
"08/14/2016","123.56","124.91","124.92","122.78","71.40M","-1.06%"
"08/21/2016","124.96","123.33","125.19","123.09","68.18M","1.13%"
"08/28/2016","126.51","124.35","126.86","124.35","73.59M","1.24%"
